┌─────────────────────────┬─────────────────────────┬─────────────────────────┬──────────────────────────┬─────────────────────────┐
│Time                     │JobId                    │Node List                │ CPU                      │ Partition               │
│2022-06-11T21:12:31.032  │43471                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T21:15:13.489  │43472                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T21:15:43.308  │43473                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T21:18:58.315  │43474                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T21:35:19.872  │43458                    │cpu03                    │ 32                       │ cpu-opteron             │
│2022-06-11T22:10:01.483  │43475                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T22:13:18.160  │43476                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T22:34:20.171  │43477                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T22:46:29.471  │43479                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-11T22:51:52.908  │43480                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-12T15:46:52.312  │43518                    │cpu07                    │ 64                       │ cpu-opteron             │
│2022-06-12T15:48:35.660  │43521                    │cpu05                    │ 32                       │ cpu-opteron             │
│2022-06-12T15:50:16.806  │43523                    │cpu09                    │ 64                       │ cpu-opteron             │
│2022-06-12T15:51:21.899  │43524                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-13T09:19:22.756  │43563                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-13T09:45:25.512  │43565                    │cpu03                    │ 16                       │ cpu-opteron             │
│2022-06-13T09:45:55.539  │43566                    │cpu03                    │ 8                        │ cpu-opteron             │
│2022-06-13T09:47:31.832  │43567                    │cpu03                    │ 16                       │ cpu-opteron             │
│2022-06-13T09:55:34.654  │43570                    │cpu03                    │ 16                       │ cpu-opteron             │
│2022-06-13T09:56:32.739  │43571                    │cpu04                    │ 16                       │ cpu-opteron             │
│2022-06-13T09:57:16.803  │43572                    │cpu04                    │ 8                        │ cpu-opteron             │
│2022-06-13T10:04:45.860  │43573                    │cpu03                    │ 16                       │ cpu-opteron             │
│2022-06-13T10:21:51.818  │43575                    │cpu04                    │ 16                       │ cpu-opteron             │
│2022-06-13T10:22:18.854  │43576                    │cpu04                    │ 8                        │ cpu-opteron             │
